Algorithm,Array Size,Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (microseconds)
Quick Sort,15000,5304,3880,3808,3457,3572,4187,3592,4554,3911,3440,4973.181818
Quick Sort Optimised,15000,321,230,222,215,211,248,210,325,229,213,1584
Bubble Sort,15000,2088356,1428923,1456304,1435859,1440502,1394855,1432003,1385759,1719781,1370430,1378888.364
Bubble Sort Optimised ,15000,1943412,1425914,1433563,1406505,1356301,1321502,1386942,1321394,1629253,1313842,1323057.091
Bubble Comb Sort Optimised,15000,7316,5236,5040,4958,7673,4660,4959,4589,6271,4542,6385.818182
Std Sort,15000,17429,11388,12064,12323,13357,11548,12400,11436,15926,11722,13144.81818
Insertion Sort,20000,1126147,644242,645980,690748,643245,615233,640165,599070,795391,621621,640167.4545
Insertion Sort Optimised,20000,595134,517677,421060,458433,415872,396618,442700,400444,518914,388351,415927.5455
Shell Sort,20000,5219,4467,3855,3497,3987,3490,3661,3485,4064,3541,5387.818182
Shell Sort Optimised ,20000,6314,6021,5394,5645,5012,4271,5222,5414,5652,5006,6722.818182
Rubix Sort,20000,0,0,0,0,0,0,0,0,0,0,1818.181818
Rubix Sort Optimised ,20000,8780,7970,6929,6378,8588,6697,6821,5682,7376,8881,8554.727273
Bitwise Optimised Rubix Sort,20000,13532,11284,10350,9940,10681,11702,9701,8866,11492,11181,11702.63636
Bitwise Optimised Vector Rubix Sort,20000,13428,10455,9692,9622,10397,9934,13293,10084,11197,10510,11692
Quick Sort,20000,6664,5473,5032,5190,5006,5014,6843,5598,5334,5125,6843.545455
Quick Sort Optimised,20000,417,329,311,304,317,305,357,377,337,320,2124.909091
Bubble Sort,20000,3595493,2572768,2556123,2635788,2537669,2478765,2562071,2588533,3013473,2387949,2449875.636
Bubble Sort Optimised ,20000,5462712,2600794,2548434,2547698,2451593,2390954,2541053,2394633,3027174,2344779,2575438.545
Bubble Comb Sort Optimised,20000,19948,6533,6415,6500,5962,6468,6567,5917,8457,6004,8979.181818
Std Sort,20000,67601,15852,15759,16843,15451,16477,16835,15279,20503,15437,21457.90909
