Algorithm,Array Size,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Time (microseconds), Hue
Quick Sort Optimised,2500,14,14,14,14,14,14,14,14,14,14,14,Optimised
Bubble Sort,2500,7313,7335,7405,7282,8149,7789,7286,7410,7121,7455,7454.5,UnOptimised
Bubble Sort Optimised ,2500,7525,7223,7570,7133,8064,7280,7347,7318,7503,7536,7449.9,Optimised
Bubble Comb Sort Optimised,2500,204,210,208,205,208,215,205,200,205,217,207.7,Optimised
Std Sort,2500,368,369,371,383,370,383,395,367,371,389,376.6,Optimised
Insertion Sort,3000,2407,2407,2399,2466,2432,2411,3109,2470,2400,3209,2571,UnOptimised
Insertion Sort Optimised,3000,2304,2261,2350,2325,2297,2259,2325,2285,2288,2247,2294.1,Optimised
Shell Sort,3000,109,105,116,108,112,110,105,108,116,111,110,UnOptimised
Shell Sort Optimised ,3000,161,160,165,163,161,168,162,163,167,157,162.7,Optimised
Rubix Sort,3000,2798,2728,2924,2795,2778,2749,2735,2751,2802,2794,2785.4,UnOptimised
Rubix Sort Optimised ,3000,251,250,263,251,256,251,250,260,250,256,253.8,Optimised
Bitwise Optimised Rubix Sort,3000,370,370,383,370,372,383,371,381,370,379,374.9,Optimised
Bitwise Optimised Vector Rubix Sort,3000,379,381,381,382,452,378,381,381,380,454,394.9,Optimised
Quick Sort,3000,202,199,202,201,199,199,200,199,199,206,200.6,UnOptimised
Quick Sort Optimised,3000,7,6,7,7,6,7,7,6,6,7,6.6,Optimised
Bubble Sort,3000,10471,10585,10363,10031,11873,10379,9941,10548,10013,11220,10542.4,UnOptimised
Bubble Sort Optimised ,3000,10575,10619,10782,10704,12303,10801,10586,12037,10643,12730,11178,Optimised
Bubble Comb Sort Optimised,3000,258,267,258,331,264,250,262,262,261,332,274.5,Optimised
Std Sort,3000,451,474,445,513,458,454,452,463,447,738,489.5,Optimised
Insertion Sort,3500,3472,3459,3538,3457,3966,3477,3410,3489,3353,3463,3508.4,UnOptimised
Insertion Sort Optimised,3500,3195,3202,3152,3168,5787,3179,3147,3225,3143,5570,3676.8,Optimised
Shell Sort,3500,133,134,129,138,132,128,127,197,129,127,137.4,UnOptimised
Shell Sort Optimised ,3500,193,194,198,195,201,199,189,279,200,189,203.7,Optimised
Rubix Sort,3500,3185,3190,3274,3323,3208,3220,3271,3344,3593,3228,3283.6,UnOptimised
Rubix Sort Optimised ,3500,292,293,296,295,303,296,292,294,293,295,294.9,Optimised
Bitwise Optimised Rubix Sort,3500,436,433,440,436,541,449,436,452,441,448,451.2,Optimised
Bitwise Optimised Vector Rubix Sort,3500,447,454,536,585,445,452,450,448,450,449,471.6,Optimised
Quick Sort,3500,239,241,245,320,238,239,238,241,242,238,248.1,UnOptimised
Quick Sort Optimised,3500,31,30,31,38,31,31,31,31,30,30,31.4,Optimised
