Algorithm,Array Size,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Time (microseconds), Hue
Rubix Sort Optimised ,7000,587,670,607,594,609,591,594,601,590,608,605.1,Optimised
Bitwise Optimised Rubix Sort,7000,883,1195,1138,1017,1016,1068,900,1075,881,1003,1017.6,Optimised
Bitwise Optimised Vector Rubix Sort,7000,1019,1181,1157,906,893,863,886,891,1011,892,969.9,Optimised
Quick Sort,7000,561,737,536,557,536,532,559,544,540,538,564,UnOptimised
Quick Sort Optimised,7000,29,42,32,31,32,31,34,33,31,32,32.7,Optimised
Bubble Sort,7000,59227,55190,56765,65087,65582,67419,61966,58096,60388,55841,60556.1,UnOptimised
Bubble Sort Optimised ,7000,70009,64162,60162,60884,64749,64148,63715,59644,68089,63850,63941.2,Optimised
Bubble Comb Sort Optimised,7000,711,678,655,652,670,663,679,642,653,663,666.6,Optimised
Std Sort,7000,1276,1204,1183,1180,1216,1239,1228,1177,1177,1230,1211,Optimised
Insertion Sort,8000,18138,18216,18413,18567,18217,18089,18919,18383,18016,19068,18402.6,UnOptimised
Insertion Sort Optimised,8000,26194,19817,14782,14305,14908,26824,15223,25294,16315,20660,19432.2,Optimised
Shell Sort,8000,324,371,327,325,343,324,327,317,362,335,335.5,UnOptimised
Shell Sort Optimised ,8000,523,587,542,543,528,545,527,514,578,530,541.7,Optimised
Rubix Sort,8000,7305,10419,7333,7541,7684,7250,7760,7481,8442,7520,7873.5,UnOptimised
Rubix Sort Optimised ,8000,674,685,673,667,682,671,683,686,775,894,709,Optimised
Bitwise Optimised Rubix Sort,8000,1118,1169,1191,1001,992,1085,1021,1013,1057,1188,1083.5,Optimised
Bitwise Optimised Vector Rubix Sort,8000,1117,1002,1004,1125,1183,1319,1165,1000,1173,1150,1123.8,Optimised
Quick Sort,8000,616,609,778,635,611,774,624,603,626,606,648.2,UnOptimised
Quick Sort Optimised,8000,56,53,65,53,54,64,55,92,55,53,60,Optimised
Bubble Sort,8000,80048,94970,82201,75660,82272,79791,78194,79009,78576,79395,81011.6,UnOptimised
Bubble Sort Optimised ,8000,74489,86125,73435,75646,90293,76801,75084,76430,73356,72017,77367.6,Optimised
Bubble Comb Sort Optimised,8000,814,848,790,802,789,790,832,999,793,801,825.8,Optimised
Std Sort,8000,1360,1478,1476,1346,1342,1343,1375,1502,1551,1472,1424.5,Optimised
Insertion Sort,9000,22558,24285,22365,22195,22725,22507,23585,27633,23444,22384,23368.1,UnOptimised
Insertion Sort Optimised,9000,17689,20125,17985,32141,29983,18243,26197,18338,36131,18292,23512.4,Optimised
Shell Sort,9000,376,437,373,373,371,400,378,371,374,376,382.9,UnOptimised
Shell Sort Optimised ,9000,587,709,595,587,595,601,602,589,607,629,610.1,Optimised
Rubix Sort,9000,8397,8766,8139,8144,8162,8424,8301,8119,8406,8365,8322.3,UnOptimised
Rubix Sort Optimised ,9000,765,794,775,776,765,924,773,764,1104,798,823.8,Optimised
Bitwise Optimised Rubix Sort,9000,1141,1171,1137,1329,1289,1337,1365,1323,1309,1330,1273.1,Optimised
Bitwise Optimised Vector Rubix Sort,9000,1295,1338,1348,1134,1128,1112,1303,1128,1270,1279,1233.5,Optimised
Quick Sort,9000,663,688,667,663,664,660,683,673,667,667,669.5,UnOptimised
Quick Sort Optimised,9000,66,70,68,69,69,69,68,68,66,68,68.1,Optimised
Bubble Sort,9000,94040,96487,96615,93149,104044,88912,96881,96152,99432,96934,96264.6,UnOptimised
Bubble Sort Optimised ,9000,88957,97924,98006,88655,98547,94750,89777,89815,92318,89392,92814.1,Optimised
Bubble Comb Sort Optimised,9000,885,934,863,866,870,863,867,866,874,863,875.1,Optimised
Std Sort,9000,1554,1703,1545,1540,1545,1547,1546,1547,1548,1618,1569.3,Optimised
Insertion Sort,10000,28279,30260,27676,28475,28028,28490,28079,27778,28866,28252,28418.3,UnOptimised
Insertion Sort Optimised,10000,37947,37964,37271,22468,23657,22786,22546,33487,38250,22453,29882.9,Optimised
Shell Sort,10000,437,448,424,445,579,471,431,641,423,431,473,UnOptimised
Shell Sort Optimised ,10000,661,690,678,662,657,746,671,834,662,666,692.7,Optimised
Rubix Sort,10000,9144,9469,9068,9009,9047,9030,9011,9460,9208,9167,9161.3,UnOptimised
Rubix Sort Optimised ,10000,834,906,872,864,851,840,855,837,862,836,855.7,Optimised
Bitwise Optimised Rubix Sort,10000,1521,1312,1262,1446,1258,1278,1450,1241,1536,1420,1372.4,Optimised
Bitwise Optimised Vector Rubix Sort,10000,1410,1318,1419,1253,1436,1447,1264,1408,1253,1228,1343.6,Optimised
Quick Sort,10000,741,769,739,750,741,746,737,739,741,742,744.5,UnOptimised
Quick Sort Optimised,10000,69,74,68,69,68,68,68,67,69,68,68.8,Optimised
Bubble Sort,10000,116722,122782,111292,110154,121087,119176,115882,119956,111995,116752,116579.8,UnOptimised
Bubble Sort Optimised ,10000,116702,123588,115829,117329,120315,117986,114785,118566,111533,114558,117119.1,Optimised
Bubble Comb Sort Optimised,10000,1008,1019,1005,1017,1001,1016,1008,1010,1006,1085,1017.5,Optimised
Std Sort,10000,1729,2203,1726,1723,1728,1727,1722,1744,2008,1799,1810.9,Optimised
Insertion Sort,15000,64648,67169,65157,62634,63982,61780,63197,62064,63580,63668,63787.9,UnOptimised
Insertion Sort Optimised,15000,100128,69196,70825,84445,49057,48588,74243,61425,81878,69764,70954.9,Optimised
Shell Sort,15000,761,671,631,618,675,620,617,771,615,614,659.3,UnOptimised
Shell Sort Optimised ,15000,1091,1192,1090,1103,1150,1094,1083,1331,1083,1151,1136.8,Optimised
Rubix Sort,15000,14116,14275,13607,13547,14591,14710,14036,13437,13545,13538,13940.2,UnOptimised
Rubix Sort Optimised ,15000,1416,1301,1253,1261,1274,1258,1682,1284,1255,1276,1326,Optimised
Bitwise Optimised Rubix Sort,15000,2165,2228,2140,2184,1868,2437,2345,2188,2168,2144,2186.7,Optimised
Bitwise Optimised Vector Rubix Sort,15000,2108,2195,2095,2097,2117,2127,2148,2212,1858,2129,2108.6,Optimised
